l,Dl_obs,Dl_LCDM,Dl_RDM_DES,Dl_RDM_Planck
189.0,6286.04526,8313.155161637687,8472.93514322256,8472.93514322256
190.0,5955.38562,8363.811110650962,8524.332665828748,8524.332665828748
191.0,5394.03967,8413.938665276577,8575.191290812018,8575.191290812018
192.0,6344.73772,8463.524753296555,8625.497744518332,8625.497744518332
193.0,5896.6494,8512.556390868864,8675.238843761614,8675.238843761614
194.0,5505.00632,8561.020688299674,8724.401501684135,8724.401501684135
195.0,4030.55156,8608.904855802388,8772.972733603183,8772.972733603183
196.0,5565.00753,8656.196209239863,8820.939662840352,8820.939662840352
197.0,5594.38968,8702.882175846285,8868.289526529918,8868.289526529918
198.0,5633.5474,8748.950299925154,8915.009681402636,8915.009681402636
199.0,5311.56809,8794.38824851977,8961.087609541344,8961.087609541344
200.0,5238.38076,8839.183817052692,9006.510924104745,9006.510924104745
201.0,4881.84835,8883.324934930584,9051.26737501578,9051.26737501578
202.0,6138.44518,8926.799671110912,9095.344854610916,9095.344854610916
203.0,5670.94312,8969.596239626911,9138.731403246848,9138.731403246848
204.0,5331.8768,9011.703005067318,9181.415214860883,9181.415214860883
205.0,6151.69986,9053.10848800731,9223.384642481551,9223.384642481551
206.0,5334.49284,9093.801370387182,9264.628203685821,9264.628203685821
207.0,5044.16844,9133.770500835228,9305.134585999393,9305.134585999393
208.0,5719.21608,9173.004899931411,9344.89265223653,9344.89265223653
209.0,4626.96958,9211.493765408335,9383.89144577598,9383.89144577598
210.0,5424.5295,9249.22647728614,9422.120195769505,9422.120195769505
211.0,5517.08988,9286.192602937923,9459.568322279545,9459.568322279545
212.0,5880.24579,9322.381902082345,9496.2254413427,9496.2254413427
213.0,5881.85406,9357.784331700133,9532.08136995562,9532.08136995562
214.0,5256.76876,9392.390050871147,9567.126130979976,9567.126130979976
215.0,6647.2958,9426.189425528868,9601.349957963288,9601.349957963288
216.0,5806.27699,9459.173033129067,9634.74329987234,9634.74329987234
217.0,5602.93537,9491.331667229539,9667.296825736012,9667.296825736012
218.0,6273.61975,9522.656341977816,9699.00142919441,9699.00142919441
219.0,5675.14634,9553.138296503843,9729.84823295123,9729.84823295123
220.0,6373.42096,9582.768999214613,9759.828593126294,9759.828593126294
221.0,5887.18514,9611.540151987878,9788.93410350536,9788.93410350536
